problem_size	accuracy
2	0
3	0
4	0
5	0
6	0.0727273
7	0
8	0.143478
9	0.128834
10	0
11	0.0790514
12	0
13	0
14	0.282738
15	0.104859
16	0.196629
17	0.0843373
18	0.168724
19	0.0151515
20	0.0590278
21	0.146154
22	0.0533333
23	0.196581
24	0.122951
25	0.175182
26	0.278261
27	0.151786
28	0.0190476
29	0.16996
30	0.195312
31	0.0519878
32	0.127139
33	0.139651
34	0.0958084
35	0.0702703
36	0.141119
37	0.164516
38	0.048583
39	0.11336
40	0.150838
41	0.0125628
42	0.195652
43	0.0493097
44	0.0388889
45	0.0491803
46	0.106464
47	0.255396
48	0.0654206
49	0.0740741
50	inf
51	0.167192
52	0.0540541
53	0.0509091
54	0.0689655
55	0.0596026
56	0.249042
57	0.136201
58	inf
59	inf
60	0.0776699
61	0.0620155
62	0.130769
63	inf
64	0.0827586
65	0.16
66	inf
67	0.00512821
68	0.225108
69	inf
70	0.213333
71	inf
72	inf
73	0.0425532
74	inf
75	inf
76	inf
77	0.150442
78	0.0215054
79	0.0662651
80	0.242754
81	inf
82	inf
83	inf
84	inf
85	inf
86	inf
87	inf
88	inf
89	0.173516
90	inf
91	inf
92	0.13964
93	0.12
94	inf
95	inf
96	inf
97	0.163366
98	inf
99	inf
100	0.11399
