problem_size	execution_time
2	3.47e-06
3	1.877e-06
4	3.719e-06
5	5.675e-06
6	1.0024e-05
7	1.5804e-05
8	1.9647e-05
9	4.0301e-05
10	6.1398e-05
11	9.2351e-05
12	4.8522e-05
13	0.00032289
14	0.000729906
15	0.00107898
16	0.00209856
17	0.00151053
18	0.00496413
19	0.00357439
20	0.00317892
21	0.0299473
22	0.0256693
23	0.0119514
24	0.0187269
25	0.216514
26	0.180197
27	0.157678
28	0.221675
29	0.060948
30	2.08151
31	0.988384
32	0.868027
33	0.835008
34	6.23384
35	0.333558
36	9.9563
37	4.7871
38	2.83734
39	1.81859
40	10.9149
41	22.0899
42	64.5477
43	351.231
44	140.821
45	21.5739
46	10.4067
47	16.4939
48	1.6762
49	29.8576
50	inf
51	145.287
52	1.07325
53	50.6284
54	6.98787
55	7.74114
56	278.842
57	81.2706
58	inf
59	inf
60	1437.17
61	2.5662
62	334.448
63	inf
64	848.638
65	146.326
66	inf
67	22.5889
68	259.726
69	inf
70	1899.29
71	inf
72	inf
73	1.00467
74	inf
75	inf
76	inf
77	723.704
78	78.1229
79	50.0143
80	inf
81	inf
82	inf
83	inf
84	inf
85	inf
86	inf
87	inf
88	inf
89	2206.81
90	inf
91	inf
92	1523.33
93	7.1815
94	inf
95	inf
96	inf
97	2092.46
98	inf
99	inf
100	159.364
