problem_size	accuracy
2	0
3	0.619048
4	0
5	0.338798
6	0.154545
7	0.15625
8	0
9	0.331288
10	0
11	0.130435
12	0.780269
13	0.150725
14	0.502976
15	0
16	0.485955
17	0.465863
18	0.489712
19	0.443182
20	0.545139
21	0.0564103
22	0.0533333
23	1.50427
24	0.704918
25	0.59854
26	0.593478
27	0.833333
28	0.701587
29	0.972332
30	0.308594
31	0.525994
32	0.682152
33	0.598504
34	0.434132
35	0.8
36	0.20438
37	0.874194
38	1.06478
39	1.34008
40	0.98324
41	0.517588
42	0.361413
43	0.445759
44	0.397222
45	0.563934
46	0.885932
47	0.629496
48	0.761682
49	1.04444
50	inf
51	0.652997
52	1.19459
53	0.581818
54	0.689655
55	0.827815
56	0.766284
57	1.53047
58	inf
59	inf
60	1.24595
61	1.07752
62	0.361538
63	inf
64	0.831034
65	2.46
66	inf
67	2.35897
68	1.72294
69	inf
70	0.72
71	inf
72	inf
73	2.30496
74	inf
75	inf
76	inf
77	1.78319
78	3.00538
79	2.66867
80	1.1087
81	inf
82	inf
83	inf
84	inf
85	inf
86	inf
87	inf
88	inf
89	1.85845
90	inf
91	inf
92	1.73874
93	1
94	inf
95	inf
96	inf
97	1.07921
98	inf
99	inf
100	2.41451
